grid_id	Cropland	Cropland.trend
2846	0.119020034833592	0.0279363412313679
2666	0.151093773771467	0.0262668381533396
4116	0.023614159783303	0.0159172905620034
2754	0.196939960482816	0.0272066255361709
3570	0.230977467961777	0.0243108070746299
2753	0.209016554236832	0.027095489000035
3663	0.280877942941893	0.0247125574904907
3758	0.322653141384915	0.0256635496559936
2756	0.171312458123853	0.0284961547309975
3110	0.116954283539773	0.0263350684416502
2934	0.0581345361234321	0.0219981055926036
2579	0.124489559795777	0.0179286175762004
2938	0.260286672158265	0.025817324401024
2847	0.166649693310896	0.0276434569013798
2758	0.173374867537643	0.0254714979806521
2939	0.144972043821466	0.0244189719870127
