grid_id	Cropland
2190	0.757737192282409
2786	0.882086980532114
2433	0.783016082869191
3152	0.137737049359564
2792	0.604921283650412
2961	0.865870219747824
1851	0.668692996496001
1846	0.259663611034153
3693	0.785525345915289
2441	0.822875437393865
1604	0.208461208257677
2193	0.800382240070719
2709	0.624775483838465
3058	0.51397295376328
2525	0.695083581708855
2881	0.258103282555474
2620	0.377726342724335
2873	0.940099353870186
2612	0.69866207091971
1839	0.19008245916314
2264	0.430920001147466
2270	0.721527274394245
2268	0.787995932412847
2535	0.521711318434798
2356	0.634818932078438
2962	0.916764902569198
2609	0.853423606689142
2360	0.654623991358281
2886	0.202778546636363
2016	0.554603571067269
1356	0.881549877946214
2358	0.736269969256679
3239	0.0164934177237663
3056	0.174532238809124
2890	0.512280119620249
2892	0.382006871001436
1941	0.360625185920362
3063	0.414567875338978
2604	0.940270886211423
2191	0.854166533715625
2104	0.898015392285384
2615	0.651828684069271
