grid_id	tmp.modern	tmp.trend	pre.modern	pre.trend
2190	11.7098216062545	0.00574198588412106	95.5869063536326	0.0108887608346244
2786	7.87678587268151	0.00802906835570496	73.3535724182924	0.00909907035933686
2433	10.3351192339989	0.00547060711081785	78.7315490132286	0.00760153415506233
3152	5.19910723527539	0.00992687780656581	71.169644123032	0.00397596010467285
2792	8.22529775506285	0.0103004315006609	73.9754479250738	0.00774865239515281
2961	7.38377988755348	0.00949673335282202	57.0288700272462	0.00786834159824188
1851	13.6473216647504	0.00494174798569198	92.819942059971	0.00789553003096741
1846	13.5571431210708	0.00348583359815596	90.4571447542735	0.00579218777434277
3693	5.15595246585352	0.0140049515433546	51.0925603906314	0.0081298804090285
2441	10.0482144754025	0.00808266244041011	82.9821441003254	0.0104742331222866
1604	14.943601438942	0.00372713746477345	107.228424381642	0.0088660073490599
2193	10.6916668262067	0.00811819813884989	95.0494062105815	0.00872361963054991
2709	9.27916683256626	0.0104085079470657	74.1785728647595	0.0104238513750129
3058	7.79404771789199	0.0110117197142048	69.1065486726307	0.00692712519565398
2525	9.35595254041255	0.00777100895102468	84.2973228238878	0.00876103704214122
2881	7.77857156550246	0.0102666535038531	72.6434535270646	0.00613690727613283
2620	10.2386906728415	0.00954791843540475	82.062501175063	0.0108093369637084
2873	8.06785725644745	0.0087287371154456	64.7532748750278	0.00739307082335226
2612	8.87083348678425	0.00809988084139776	80.1836324149654	0.00878113249739615
1839	13.2625001910298	0.0102751743517247	78.3171143644999	0.00710734451255889
2264	10.7964287583406	0.00454166151328878	82.3755969745772	0.00574586148273914
2270	11.1047620975102	0.00655331136320161	84.0976208675475	0.00826526980552802
2268	11.0869049457501	0.00735394474544534	84.3409240373543	0.00772075543068792
2535	10.1535716336221	0.00876888069136648	79.1398820763543	0.0101583774324893
2356	10.8089287541807	0.00769270358618577	83.4845248631069	0.0109236262261981
2962	7.59583346338366	0.00924063122772704	60.9836319208677	0.00830909300264792
2609	9.08303588744075	0.008019870131692	80.7541679441929	0.00821687478607363
2360	10.833928736725	0.0109970934173897	85.7916682901837	0.0103060297663518
2886	8.68869061703749	0.0113189382056338	76.7648822977429	0.0133703645564814
2016	12.2017859642704	0.00563760503989415	86.576787182263	0.00885030523540167
1356	16.0833336411576	0.00379850044729489	106.739882625285	0.00630402097169696
2358	10.7767858844073	0.0090333307654329	86.8166678860074	0.0102951117902942
3239	4.61041672694098	0.0110447466050212	69.8223225218909	0.00388455948485115
3056	8.10059535157468	0.0113349561191087	67.3190487509682	0.00792538978699308
2890	8.5696430319388	0.0127845832136216	68.9607153165908	0.0109182021531587
2892	8.6412204084807	0.0136118585318353	77.1680072290557	0.0134649451681073
1941	12.7550597329557	0.0064329927417886	102.330954320374	0.00981056782248108
3063	6.82261918059417	0.00817776287292541	69.1916676788103	0.00581745110398413
2604	8.51190486168932	0.00733995646070598	67.4809534574548	0.00681639623500814
2191	11.4672621116929	0.00652900697693071	94.5565493788038	0.0105362617600704
2104	11.661309712389	0.00679291630584929	90.7535729237965	0.00921097885419635
2615	8.77440493394222	0.0105978951790266	78.279763000352	0.010158686769823
