grid_id	Cropland	Cropland.trend
2190	0.702633219097069	0.0118027875025749
2786	0.719873714803403	0.00199513509631025
2433	0.600937004103584	-0.012276068408242
3152	0.124254489707199	0.000188812091484969
2792	0.37111037776325	-0.0255437722026764
2961	0.550026996772215	-0.00788692105200132
1851	0.613908062607933	0.0128948588949121
1846	0.369374873536415	-0.0063771667828372
3693	0.460346135810664	0.0218985171893398
2441	0.631096648856067	-0.013458646691695
1604	0.277060452155152	-0.016399935614628
2193	0.654222911572847	0.00815966586501947
2709	0.425778608384174	-0.0162405890201969
3058	0.286256244946949	-0.00370715026274064
2525	0.527048035442677	-0.0153335676361159
2881	0.178705936009442	-0.0208660380174392
2620	0.304183950971182	-0.0209759083039214
2873	0.715549055472722	0.000824686406777794
2612	0.398788083722956	-0.014227065584215
1839	0.218774223553477	-0.0251876745484166
2264	0.333821179976789	-0.0210807270567486
2270	0.620319932541995	-0.00492462818647688
2268	0.586596021582124	-0.000458067245645186
2535	0.436559423213953	-0.0143648813349842
2356	0.46112686494708	-0.0252320148454606
2962	0.660015300927271	0.00118270303427388
2609	0.703236116049839	0.0138104682273278
2360	0.571728786321993	0.01074147282517
2886	0.108634439186368	-0.0177618735001707
2016	0.520662189922554	0.00921863163031395
1356	0.71589336579627	0.0206148751811013
2358	0.499968492969037	0.00365141229766702
3239	0.0523017721799208	0.00601150887751711
3056	0.265317361695362	-0.0233336241048379
2890	0.402346346861103	0.00932647532325036
2892	0.51371205160981	0.0119471441756092
1941	0.287977455708221	-0.0183279883260176
3063	0.226380214440262	-0.0108345452204485
2604	0.730569892268635	-0.0115471656570654
2191	0.660836685613785	0.0107969227720109
2104	0.788076279533738	0.000666566673334249
2615	0.435840156517404	-0.0251991877175933
