grid_id	tmp.modern	tmp.trend	pre.modern	pre.trend
711	7.85578716692894	0.0159552338496119	142.641514834063	0.00663861672523822
949	9.85995388074697	0.0156247344683871	52.9578712853017	0.00281449862001316
774	7.11311739948176	0.0163391182136218	91.1825632622213	0.00541162903223096
743	7.95879641765683	0.0160875815304337	74.2132729317671	0.00567517323106602
739	8.1240741894063	0.016770243188813	106.221298058828	0.00422018725216966
784	9.34459893364045	0.0145101106403751	66.1061739303448	0.00362572187699201
786	10.0359569460522	0.0151781235626929	79.0101865386521	0.00203973500786526
810	8.0342593928684	0.0165941240867193	73.1667450254346	0.00486869136499847
780	9.07376558301442	0.0160655817343471	98.4166681692924	0.00486939687415547
884	10.0049384565116	0.0169923190422563	58.9058651355682	0.00197853346227274
885	9.92384275638234	0.0168685396999746	64.7335658641877	0.00143989209091613
917	10.2320989381154	0.0163874031785106	51.8811736438009	0.00222064260734862
951	10.4595680675228	0.0154790315752611	58.2771614157123	0.00278443695161863
