Species	Invasive	Feeding	Plant_family	Primary_host	Summer_host	Host_breadth	Diet.breadth.families	Pest_family	Pest_status	DL_notes	Common_name	First_report	Host_alternating	Parthenogenesis	Minimum_length	Maximum_length
Monellia caryella	Native	Specialist	Juglandaceae	NA	tree	M	1	Juglandaceae	Fruit		blackmargined pecan aphid		Monoecious	Holocyclic	0.9	2.2
Mordwilkoja vagabunda	Native	Specialist	Salicaceae;Primulaceae	Populus	forb	M	2	NA	NA		poplar vagabond aphid		Heteroecious	Holocyclic	2	3
Myzocallis spp.	Native	Specialist	Fagaceae;Apocynaceae	NA	forb, tree	M	2	NA	NA	The following species has been identified from suction traps: Myzocallis asclepiadis (Monell, 1879); M. granovsky Bondreaux &Tissot, 1962; M. punctatus (Monell in Riley & Monell, 1879); M. walshii (Monell in Riley & Monell, 1879)			Monoecious	Holocyclic	1.6	2.5
Myzus lythri	Invasive	Generalist	Rosaceae;Lythraceae;Onagraceae;Rhamnaceae	Prunus	forb	P	4	NA	NA		purple loosestrife aphid	1916	Heteroecious	Holocyclic	1.8	2
Myzus persicae	Invasive	Generalist	Rosaceae;Solanaceae;Brassicaceae;Amaranthaceae;Poaceae;Asteraceae;Malvaceae;Apiaceae;Cucurbitaceae	Prunus	forb	P	9	Many crops	Vegetable		green peach aphid; peach-potato aphid	1841	Heteroecious	Holocyclic	1.2	2.3
Nearctaphis bakeri	Native	Generalist	Rosaceae;Brassicaceae;Fabaceae;Plantaginaceae;Orobanchaceae;Caprifoliaceae	Pomoideae	forb	O	6	NA	NA		short-beaked clover aphid		Heteroecious	Holocyclic	1.4	2.3
Nearctaphis crataegifoliae	Native	Specialist	Rosaceae;Fabaceae	Crataegus	forb	O	2	NA	NA				Heteroecious	Holocyclic	1.6	2.5
Pemphigus spp.	Native	Specialist	Salicaceae;Brassicaceae	Populus	forb, tree	M	2	NA	NA	The following species has been identified from suction traps: Pemphigus monophagus Maxson, 1934; P. populitransversus Riley in Riley & Monell, 1879			NA	Holocyclic	1.4	2
Phorodon cannabis	Native	Specialist	Cannabaceae	NA	forb	M	1	Cannabaceae	Cannabis		cannabis aphid		Monoecious	Holocyclic	1.5	2.7
Phorodon humuli	Invasive	Specialist	Rosaceae;Cannabaceae	Prunus	forb	M	2	Rosaceae;Cannabaceae	Fruit		hop aphid	1863	Heteroecious	Holocyclic	2	2.6
Prociphilus spp.	Native	NA	Pinaceae;Oleaceae;Fabaceae;Poaceae;Asteraceae;Orobanchaceae	Fraxinus	forb, grass, tree	O	6	NA	NA	The following species has been identified from suction traps:Prociphilus americanus (Walker, 1852); P. caryae (Fitch, 1856); P. erigeronensis (Thomas, 1879); P. fraxini (Fabricius, 1777); P. longianus Smith, 1974; P. pergandei Smith, 1974			NA	NA	2.7	5.1
Protaphis debilicornis	Native	Specialist	Asteraceae	NA	forb	M	1	NA	NA				Monoecious	Holocyclic	1.6	2.1
Protaphis knowltoni	Native	Specialist	Asteraceae	NA	forb	O	1	NA	NA				Monoecious	Holocyclic	1.8	2.3
Protaphis middletonii	Native	Generalist	Asteraceae;Brassicaceae;Poaceae;Lamiaceae;Apiaceae;Cactaceae	NA	forb, grass	P	6	NA	NA				Monoecious	Holocyclic	1.5	2.5
Pterocallis alnifoliae	Native	Specialist	Betulaceae	NA	tree	M	1	NA	NA				Monoecious	Holocyclic	1.3	1.7
Rhopalosiphoninus latysiphon	Invasive	Generalist	Poaceae;Solanaceae;Convulvaceae;Rosaceae;Araliaceae;Urticaceae;Apocynaceae;Liliaceae;Iridaceae	NA	forb, grass	P	9	Solanaceae	Vegetable		buld-and-potato aphid	1912	Monoecious	Anholocyclic	1.4	2.5
Rhopalosiphoninus staphyleae	Invasive	Generalist	Ranunculaceae;Liliaceae;Iridaceae;Brassicaceae;Lamiaceae;Oxalidaceae;Apocynaceae;Staphyleaceae;Poaceae;Amaranthaceae	Staphylea	forb, grass	P	10	NA	NA		mangold aphid	1953	Heteroecious	Holocyclic	2.3	3
